username,nome_completo,subtitulo,palavra_chave_origem
proescola.com.br,,,salão de beleza
edrianecorreia,,,salão de beleza
imarta.4,,,salão de beleza
airesdircepereira,,,salão de beleza
coutinho_tkd,,,salão de beleza
adrianaavila56,,,salão de beleza
mademoiselle307_sul,,,salão de beleza
magnoliabeauty.center,,,salão de beleza
espaco_dellascabeleireiros,,,salão de beleza
studioellenvictorino,,,salão de beleza
evinhacabeleireira,,,salão de beleza
clinicahelenas,,,salão de estética
vitrinedabelezato,,,salão de estética
tirzasaloneestetica,,,salão de estética
rubenytabelezaestetica,,,salão de estética
adoriaoficial,,,salão de estética
espacomulher_braidsalon_mz,,,salão de cabeleireiro
italo_cabeleireiros,,,salão de cabeleireiro
studio_claudia_falcao,,,salão de cabeleireiro
studio_tassios,,,salão de cabeleireiro
rncabeleireiros,,,salão de cabeleireiro
_salao_espaco_feminino_,,,salão feminino
espacofeminino_by_dayleite,,,salão feminino
visualcabeloeestetica,,,salão feminino
salao_femininomaeefilha,,,salão feminino
lavallesalao,,,salão feminino
s_espaco_masculino,,,salão masculino
salaomasculino2014,,,salão masculino
barber_shop_citro,,,salão masculino
topsalaomasculino,,,salão masculino
emporio_lagoa,,,salão masculino
barbeariatoledo,,,barbearia
barbeariadocabelo,,,barbearia
tocabarbershop_barbearia,,,barbearia
idealbarbearia10,,,barbearia
titaniumparaiso,,,barbearia
joycekarolina_naildesigner,,,nail designer
nail_designer_paraiso_to,,,nail designer
studiovr_nails,,,nail designer
ljovana.nail,,,nail designer
studiolidioneza_alves,,,nail designer
carlalopes584,,,espaço de beleza
espacomocabonitaa_,,,espaço de beleza
espacodebelezayvancosta,,,espaço de beleza
espaco_de_beleza_mara_,,,espaço de beleza
espaco_elizangela_lobo,,,espaço de beleza
espacoesteticosj,,,espaço estético
estetica_thaislorena,,,espaço estético
espacoesteticobelleshine,,,espaço estético
espaco_estetiico,,,espaço estético
espacocleanpalmas,,,espaço estético
belcorpo.sn,,,centro de estética
nova.lifting,,,centro de estética
romaspa.tuc,,,centro de estética
mudrarosario,,,centro de estética
clinicacorporigido_,,,centro de estética
rarasclinic,,,clínica de estética
clinicadermotonus,,,clínica de estética
studio_bembonita_,,,clínica de estética
darlingclinica,,,clínica de estética
clinicapollianaveras,,,clínica de estética
flo_rbelle,,,studio de beleza
raylanelongahstudio,,,studio de beleza
watila_studio_de_beleza,,,studio de beleza
studio_de_beleza_andressa_melo,,,studio de beleza
studio.anasbeauty,,,studio de beleza
studiode.sobrancelhas,,,studio de sobrancelhas
studiodesobrancelhasoficial_,,,studio de sobrancelhas
luanasobrancelhass,,,studio de sobrancelhas
_studio_de_sobrancelhas,,,studio de sobrancelhas
_studiosobrancelhas,,,studio de sobrancelhas
renatachavesmattos,,,studio de maquiagem
brendabrittomakeup,,,studio de maquiagem
makenorte,,,studio de maquiagem
studio_de_maquiagem_camila,,,studio de maquiagem
dannyg_makeupp,,,studio de maquiagem
spadebeleza,,,spa de beleza
spa_de_beleza,,,spa de beleza
squasso_oficial,,,spa de beleza
mediterraneospajp,,,spa de beleza
spa_de_beleza_,,,spa de beleza
spaurbano.motel,,,spa urbano
spaurbanoij,,,spa urbano
spaurbanosalaodebeleza,,,spa urbano
spaurbano.rosario,,,spa urbano
calma.spaurbano,,,spa urbano
oasis_beleza_unhas,,,salão de unhas
atelier_das_unhas,,,salão de unhas
espacounhasslz,,,salão de unhas
stylebar_moema,,,salão de unhas
salaodonacor,,,salão de unhas
_atelie_de_beleza_,,,ateliê de beleza
lohani.ateliedebeleza,,,ateliê de beleza
ateliebeauty.to,,,ateliê de beleza
atelieedurodrigues,,,ateliê de beleza
ateliebiancavieira,,,ateliê de beleza
faromila,,,espaço de autocuidado
secuidamaravilhosaa,,,espaço de autocuidado
_autocuidados,,,espaço de autocuidado
ginasticafacialoriental_,,,espaço de autocuidado
keillyneris,,,espaço de autocuidado
claudiapiresestudiodebeleza,,,estúdio de beleza
estudiobelezadinahair,,,estúdio de beleza
mademoiselle.slz,,,estúdio de beleza
otto.estudio,,,estúdio de beleza
sisbeauty.pp,,,estúdio de beleza
